"stage","budget","system","integral","parameters","parameterKey","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"optimization",100000,"XX","normDenominator","{0.5923642956307124, 0.18697925640886523, 2.5304632679776766, 2.2463466287924314}","0.5923642956307124|0.18697925640886523|2.5304632679776766|2.2463466287924314",21.1158573,0.0004916904170094576,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                         -6
     integrand evaluations. NIntegrate obtained 0.00049169 and 3.36705 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.5923642956307124, 0.18697925640886523, 2.5304632679776766, 2.2463466287924314}","0.5923642956307124|0.18697925640886523|2.5304632679776766|2.2463466287924314",319.4800381,-0.00240421292247775,true,-0.00240421,0.0000274791,0.011429561726038973,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00240421 and 0.0000274791
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6595517956307124, 0.15516281391950576, 2.5570257679776764, 2.2354091287924316}","0.6595517956307124|0.15516281391950576|2.5570257679776764|2.2354091287924316",21.0993644,0.00044433193355676744,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                         -6
     integrand evaluations. NIntegrate obtained 0.000444332 and 3.1013 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.6595517956307124, 0.15516281391950576, 2.5570257679776764, 2.2354091287924316}","0.6595517956307124|0.15516281391950576|2.5570257679776764|2.2354091287924316",317.1776497,-0.0021750411246101303,true,-0.00217504,0.0000251257,0.011551827556595605,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00217504 and 0.0000251257
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.7009580456307125, 0.19320421254808778, 2.468744517977676, 2.2158778787924316}","0.7009580456307125|0.19320421254808778|2.468744517977676|2.2158778787924316",21.7441938,0.00032647171728878,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000326472 and 2.44858 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.7009580456307125, 0.19320421254808778, 2.468744517977676, 2.2158778787924316}","0.7009580456307125|0.19320421254808778|2.468744517977676|2.2158778787924316",318.9912285,-0.001590415578626988,true,-0.00159042,0.0000199384,0.012536597520764288,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00159042 and 0.0000199384
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6365049206307123, 0.19078339627172347, 2.5316351429776764, 2.294393503792432}","0.6365049206307123|0.19078339627172347|2.5316351429776764|2.294393503792432",20.8054987,0.00036020309148175524,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000360203 and 2.59111 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.6365049206307123, 0.19078339627172347, 2.5316351429776764, 2.294393503792432}","0.6365049206307123|0.19078339627172347|2.5316351429776764|2.294393503792432",319.6265839,-0.0017284817776109366,true,-0.00172848,0.0000206335,0.0119373546584443,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00172848 and 0.0000206335
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6690244518807124, 0.16303046681768976, 2.502631236727676, 2.230233347542432}","0.6690244518807124|0.16303046681768976|2.502631236727676|2.230233347542432",20.9805995,0.00041283824610278177,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000412838 and 2.93045 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.6690244518807124, 0.16303046681768976, 2.502631236727676, 2.230233347542432}","0.6690244518807124|0.16303046681768976|2.502631236727676|2.230233347542432",318.8238669,-0.0020004194019031603,true,-0.00200042,0.0000234374,0.011716243092674522,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00200042 and 0.0000234374
     for the integral and error estimates."
"optimization",100000,"XX","normDenominator","{0.6473447643807123, 0.18153241978704557, 2.5219671742276764, 2.273006785042432}","0.6473447643807123|0.18153241978704557|2.5219671742276764|2.273006785042432",21.625268,0.0003764236805695587,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000376424 and 2.70228 10
     for the integral and error estimates."
"optimization",100000,"XX","hamiltonianNumerator","{0.6473447643807123, 0.18153241978704557, 2.5219671742276764, 2.273006785042432}","0.6473447643807123|0.18153241978704557|2.5219671742276764|2.273006785042432",319.9394425,-0.0018412848244709068,true,-0.00184128,0.0000218493,0.011866333610976455,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.00184128 and 0.0000218493
     for the integral and error estimates."
"final",2000000,"X","normDenominator","{0.6529644085677733}","0.6529644085677733",80.7541548,0.1911719114211486,true,0.191172,0.000142365,0.000744696221017387,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained 0.191172 and 0.000142365
     for the integral and error estimates."
"final",2000000,"X","coulombNumerator","{0.6529644085677733}","0.6529644085677733",110.0638868,-0.5432480730318382,true,-0.543248,0.000884039,0.0016273210046861759,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
     integrand evaluations. NIntegrate obtained -0.543248 and 0.000884039
     for the integral and error estimates."
"final",2000000,"XX","normDenominator","{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.308846628792432}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.308846628792432",436.2905849,0.0003447202617488898,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
                                                                        -7
     integrand evaluations. NIntegrate obtained 0.00034472 and 5.5618 10
     for the integral and error estimates."
"final",2000000,"XX","hamiltonianNumerator","{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.308846628792432}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.308846628792432",6375.5259592,-0.0016637294003317804,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
                                                                          -6
     integrand evaluations. NIntegrate obtained -0.00166373 and 4.50078 10
     for the integral and error estimates."
