"candidateKey","stage","system","budget","parameters","parameterKey","workerKernel","source","integral","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"XX::1000000::0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317",13,"parallel-pattern-search","hamiltonianNumerator",9606.5519126,-0.003232097154555052,true,-0.0032321,0.0000112738,0.003488075840824164,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
     integrand evaluations. NIntegrate obtained -0.0032321 and 0.0000112738
     for the integral and error estimates."
"XX::2000000::0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-first-verification","XX",2000000,"{0.6798642956307124, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317",11,"parallel-pattern-search","normDenominator",443.3438331,0.0006595810507050123,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
                                                                         -7
     integrand evaluations. NIntegrate obtained 0.000659581 and 9.7493 10
     for the integral and error estimates."
"XX::2000000::0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-first-verification","XX",2000000,"{0.6798642956307124, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.1153346177497589|2.492963267977676|2.1088466287924317",11,"parallel-pattern-search","hamiltonianNumerator",6528.3718546,-0.003232603517107027,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 2000100
                                                                         -6
     integrand evaluations. NIntegrate obtained -0.0032326 and 8.00628 10
     for the integral and error estimates."
"XX::1000000::0.7206561533685552|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.7206561533685552, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.7206561533685552|0.1153346177497589|2.492963267977676|2.1088466287924317",14,"parallel-pattern-search","normDenominator",407.067335,0.0005596135017270641,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000559614 and 1.21461 10
     for the integral and error estimates."
"XX::1000000::0.7206561533685552|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.7206561533685552, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.7206561533685552|0.1153346177497589|2.492963267977676|2.1088466287924317",14,"parallel-pattern-search","hamiltonianNumerator",6462.3580567,-0.0027345776927142277,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained -0.00273458 and 9.90586 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.13455705404138538|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6798642956307124, 0.13455705404138538, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.13455705404138538|2.492963267977676|2.1088466287924317",12,"parallel-pattern-search","normDenominator",408.5360073,0.0006036055607985108,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000603606 and 1.28659 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.13455705404138538|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6798642956307124, 0.13455705404138538, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.13455705404138538|2.492963267977676|2.1088466287924317",12,"parallel-pattern-search","hamiltonianNumerator",6477.794291,-0.0029475944371364065,true,-0.00294759,0.0000104559,0.0035472654813929988,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
     integrand evaluations. NIntegrate obtained -0.00294759 and 0.0000104559
     for the integral and error estimates."
"XX::1000000::0.6390724378928696|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6390724378928696, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6390724378928696|0.1153346177497589|2.492963267977676|2.1088466287924317",13,"parallel-pattern-search","normDenominator",410.4772804,0.0007809917289565144,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000780992 and 1.57641 10
     for the integral and error estimates."
"XX::1000000::0.6390724378928696|0.1153346177497589|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6390724378928696, 0.1153346177497589, 2.492963267977676, 2.1088466287924317}","0.6390724378928696|0.1153346177497589|2.492963267977676|2.1088466287924317",13,"parallel-pattern-search","hamiltonianNumerator",6488.3528146,-0.0038235118578198645,true,-0.00382351,0.0000130223,0.0034058479440482784,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
     integrand evaluations. NIntegrate obtained -0.00382351 and 0.0000130223
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.09611218145813241|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6798642956307124, 0.09611218145813241, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.09611218145813241|2.492963267977676|2.1088466287924317",11,"parallel-pattern-search","normDenominator",415.111301,0.0007208840953307435,true,,,,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
                                                                          -6
     integrand evaluations. NIntegrate obtained 0.000720884 and 1.48716 10
     for the integral and error estimates."
"XX::1000000::0.6798642956307124|0.09611218145813241|2.492963267977676|2.1088466287924317","XX-directional-refinement","XX",1000000,"{0.6798642956307124, 0.09611218145813241, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.09611218145813241|2.492963267977676|2.1088466287924317",11,"parallel-pattern-search","hamiltonianNumerator",6484.4991829,-0.0035349066794346496,true,-0.00353491,0.0000121554,0.003438676350557593,"
NIntegrate::maxp: 
   The integral failed to converge after 1000100
     integrand evaluations. NIntegrate obtained -0.00353491 and 0.0000121554
     for the integral and error estimates."
