"candidateKey","stage","geometryKey","a","c","system","budget","parameters","parameterKey","norm","numeratorRy","analyticKineticRy","correctionRy","roughCorrectionErrorRy","singleParticleRy","totalRy","elapsedSeconds","workerKernel","status","source","started","completed"
"7.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|2.6040262065394617|1.8963466287924327","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 2.6040262065394617, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|2.6040262065394617|1.8963466287924327",0.0011074040553066594,-0.00494192052744364,,-4.4626173290246225,0.018700134503984688,24.74063817863761,20.278020849612986,10113.8273132,24,"complete","parallel-pattern-search-remaining","2026-08-02T04:05:10","2026-08-02T06:53:44"
"7.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|3.0569003294158894|1.8963466287924327","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 3.0569003294158894, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|3.0569003294158894|1.8963466287924327",0.00151790849664939,-0.006738290078012465,,-4.439193859765903,0.017597908945664695,24.74063817863761,20.301444318871706,10155.8846094,26,"complete","parallel-pattern-search-remaining","2026-08-02T04:06:11","2026-08-02T06:55:27"
"7.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|2.8304632679776756|1.7067119659131893","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 2.8304632679776756, 1.7067119659131893}","0.6423642956307125|0.05418019210545175|2.8304632679776756|1.7067119659131893",0.0023053177360920015,-0.010170978093757705,,-4.411963667533159,0.017158244849288327,24.74063817863761,20.328674511104452,10141.8416323,21,"complete","parallel-pattern-search-remaining","2026-08-02T04:06:52","2026-08-02T06:55:53"
"7.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|2.8304632679776756|2.085981291671676","XX-initial-stencil","7.|1.",7,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 2.8304632679776756, 2.085981291671676}","0.6423642956307125|0.05418019210545175|2.8304632679776756|2.085981291671676",0.0007362100808141848,-0.0032709945679390826,,-4.443017900979629,0.0190380312038687,24.74063817863761,20.29762027765798,10136.967565,20,"complete","parallel-pattern-search-remaining","2026-08-02T04:08:13","2026-08-02T06:57:10"
"10.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|2.8304632679776756|1.8963466287924327","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 2.8304632679776756, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|2.8304632679776756|1.8963466287924327",0.0006849644187026778,-0.0027250668052239695,,-3.978406368005574,0.02001547213079451,24.12189402553059,20.143487657525014,10154.7170458,23,"complete","parallel-pattern-search-remaining","2026-08-02T04:08:38","2026-08-02T06:57:53"
"10.|1.::XX::1000000::0.719448011106398|0.05418019210545175|2.8304632679776756|1.8963466287924327","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.719448011106398, 0.05418019210545175, 2.8304632679776756, 1.8963466287924327}","0.719448011106398|0.05418019210545175|2.8304632679776756|1.8963466287924327",0.0004688371495645274,-0.001875067733709816,,-3.999400933674828,0.02171787333085689,24.12189402553059,20.122493091855763,10202.429660900001,25,"complete","parallel-pattern-search-remaining","2026-08-02T04:11:54","2026-08-02T07:01:56"
"10.|1.::XX::1000000::0.565280580155027|0.05418019210545175|2.8304632679776756|1.8963466287924327","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.565280580155027, 0.05418019210545175, 2.8304632679776756, 1.8963466287924327}","0.565280580155027|0.05418019210545175|2.8304632679776756|1.8963466287924327",0.0010197075459018987,-0.004067909355412736,,-3.9892902349906616,0.01840928563771731,24.12189402553059,20.132603790539928,10207.9855761,22,"complete","parallel-pattern-search-remaining","2026-08-02T04:11:51","2026-08-02T07:01:59"
"10.|1.::XX::1000000::0.6423642956307125|0.03418019210545174|2.8304632679776756|1.8963466287924327","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.6423642956307125, 0.03418019210545174, 2.8304632679776756, 1.8963466287924327}","0.6423642956307125|0.03418019210545174|2.8304632679776756|1.8963466287924327",0.0007731126831183416,-0.0031098698370162037,,-4.022531132813107,0.019945124937372195,24.12189402553059,20.099362892717483,8588.0057079,19,"complete","parallel-pattern-search-remaining","2026-08-02T06:53:17","2026-08-02T09:16:25"
"10.|1.::XX::1000000::0.6423642956307125|0.07418019210545175|2.8304632679776756|1.8963466287924327","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.6423642956307125, 0.07418019210545175, 2.8304632679776756, 1.8963466287924327}","0.6423642956307125|0.07418019210545175|2.8304632679776756|1.8963466287924327",0.0006071328526472997,-0.0024372952003633005,,-4.014434715130122,0.020588948942160862,24.12189402553059,20.10745931040047,8585.2536918,24,"complete","parallel-pattern-search-remaining","2026-08-02T06:53:44","2026-08-02T09:16:49"
"10.|1.::XX::1000000::0.6423642956307125|0.05418019210545175|2.6040262065394617|1.8963466287924327","XX-initial-stencil","10.|1.",10,1,"XX",1000000,"{0.6423642956307125, 0.05418019210545175, 2.6040262065394617, 1.8963466287924327}","0.6423642956307125|0.05418019210545175|2.6040262065394617|1.8963466287924327",0.0005782518146965809,-0.0023055692802131447,,-3.9871371288699167,0.020781062155254423,24.12189402553059,20.134756896660672,8552.1277931,26,"complete","parallel-pattern-search-remaining","2026-08-02T06:55:27","2026-08-02T09:17:59"
